chunk_id,source,source_label,num,section_path,titre,texte,etat,date_debut,date_fin,legiarti_id,url
ca-l124-5,ca_assurances_responsabilite,Code des assurances,L124-5,,,"La garantie est, selon le choix des parties, déclenchée soit par le fait dommageable, soit par la réclamation. Toutefois, lorsqu'elle couvre la responsabilité des personnes physiques en dehors de leur activité professionnelle, la garantie est déclenchée par le fait dommageable. Un décret en Conseil d'Etat peut également imposer l'un de ces modes de déclenchement pour d'autres garanties. Le contrat doit, selon les cas, reproduire le texte du troisième ou du quatrième alinéa du présent article. La garantie déclenchée par le fait dommageable couvre l'assuré contre les conséquences pécuniaires des sinistres, dès lors que le fait dommageable survient entre la prise d'effet initiale de la garantie et sa date de résiliation ou d'expiration, quelle que soit la date des autres éléments constitutifs du sinistre. La garantie déclenchée par la réclamation couvre l'assuré contre les conséquences pécuniaires des sinistres, dès lors que le fait dommageable est antérieur à la date de résiliation ou d'expiration de la garantie, et que la première réclamation est adressée à l'assuré ou à son assureur entre la prise d'effet initiale de la garantie et l'expiration d'un délai subséquent à sa date de résiliation ou d'expiration mentionné par le contrat, quelle que soit la date des autres éléments constitutifs des sinistres. Toutefois, la garantie ne couvre les sinistres dont le fait dommageable a été connu de l'assuré postérieurement à la date de résiliation ou d'expiration que si, au moment où l'assuré a eu connaissance de ce fait dommageable, cette garantie n'a pas été resouscrite ou l'a été sur la base du déclenchement par le fait dommageable. L'assureur ne couvre pas l'assuré contre les conséquences pécuniaires des sinistres s'il établit que l'assuré avait connaissance du fait dommageable à la date de la souscription de la garantie. Le délai subséquent des garanties déclenchées par la réclamation ne peut être inférieur à cinq ans. Le plafond de la garantie déclenchée pendant le délai subséquent ne peut être inférieur à celui de la garantie déclenchée pendant l'année précédant la date de la résiliation du contrat. Un délai plus long et un niveau plus élevé de garantie subséquente peuvent être fixés dans les conditions définies par décret. Lorsqu'un même sinistre est susceptible de mettre en jeu les garanties apportées par plusieurs contrats successifs, la garantie déclenchée par le fait dommageable ayant pris effet postérieurement à la prise d'effet de la loi n° 2003-706 du 1er août 2003 de sécurité financière est appelée en priorité, sans qu'il soit fait application des quatrième et cinquième alinéas de l'article L. 121-4 . Les dispositions du présent article ne s'appliquent pas aux garanties d'assurance pour lesquelles la loi dispose d'autres conditions d'application de la garantie dans le temps.",VIGUEUR,2003-11-02,2999-01-01,LEGIARTI000006792609,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006792609
ca-l124-3,ca_assurances_responsabilite,Code des assurances,L124-3,,,"Le tiers lésé dispose d'un droit d'action directe à l'encontre de l'assureur garantissant la responsabilité civile de la personne responsable. L'assureur ne peut payer à un autre que le tiers lésé tout ou partie de la somme due par lui, tant que ce tiers n'a pas été désintéressé, jusqu'à concurrence de ladite somme, des conséquences pécuniaires du fait dommageable ayant entraîné la responsabilité de l'assuré.",VIGUEUR,2007-12-19,2999-01-01,LEGIARTI000017735449,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000017735449
ord45-2590-1,ord_45_2590,Ordonnance n° 45-2590,1,,,"Les notaires sont les officiers publics, établis pour recevoir tous les actes et contrats auxquels les parties doivent ou veulent faire donner le caractère d'authenticité attaché aux actes de l'autorité publique, et pour en assurer la date, en conserver le dépôt, en délivrer des grosses et expéditions.",VIGUEUR,1945-11-03,2999-01-01,LEGIARTI000006915175,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006915175
ord45-2590-2,ord_45_2590,Ordonnance n° 45-2590,2,,,"Il y a, dans chaque département, une chambre des notaires, dans chaque cour d'appel un conseil régional des notaires, et auprès du garde des sceaux, ministre de la justice, un conseil supérieur du notariat (1). Chaque chambre des notaires, chaque conseil régional, et le conseil supérieur, en adjoignant à leur bureau un nombre égal de clerc ou d'employés, siège en comité mixte. (1) Premier alinéa abrogé, en tant qu'il concerne dans les départements du Bas-Rhin, du Haut-Rhin, du Haut-Rhin et de la Moselle, le conseil régional des notaires, D. n° 73-51, 10 janvier 1973, art. 1er et 21.",VIGUEUR,1945-11-03,2999-01-01,LEGIARTI000006915205,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006915205
ord45-2590-3,ord_45_2590,Ordonnance n° 45-2590,3,,,"Les chambres des notaires, les conseils régionaux et le conseil supérieur sont des établissements d'utilité publique.",VIGUEUR,1945-11-03,2999-01-01,LEGIARTI000006915212,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006915212
ord45-2590-9,ord_45_2590,Ordonnance n° 45-2590,9,,,"Un décret déterminera l'organisation et les conditions de fonctionnement des chambres des notaires, des conseils régionaux et du conseil supérieur du notariat.",VIGUEUR,1945-11-03,2999-01-01,LEGIARTI000006915316,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006915316
ord45-2590-10,ord_45_2590,Ordonnance n° 45-2590,10,,,"Sont abrogés les articles 1er et 50 de la loi du 25 ventôse an XI, l'article 42, alinéas 4 et 5 de la même loi, modifié par la loi du 12 août 1902, en ce qu'il a de contraire aux dispositions de la présente ordonnance, et l'article 4, alinéas 2, 3 et 4, de la loi du 25 janvier 1934.",VIGUEUR,1945-11-03,2999-01-01,LEGIARTI000006915332,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006915332
ord45-2590-11,ord_45_2590,Ordonnance n° 45-2590,11,,,"est expressément constatée la nullité de l'acte du loi du 16 juin 1941 relative au statut du notariat. Toutefois, la constatation de cette nullité ne porte pas atteinte aux effets découlant de son application antérieure à la publication de la présente ordonnance.",VIGUEUR,1945-11-03,2999-01-01,LEGIARTI000006915352,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006915352
ord45-2590-12,ord_45_2590,Ordonnance n° 45-2590,12,,,"La présente ordonnance, qui entrera en vigueur le même jour que le décret prévu par l'article 9 ci-dessus, sera publiée au Journal officiel de la République française et exécutée comme loi.",VIGUEUR,1945-11-03,2999-01-01,LEGIARTI000006915362,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006915362
ord45-2590-préambule,ord_45_2590,Ordonnance n° 45-2590,Préambule,,,"En 1939, le Gouvernement avait entrepris et mené près de leur terme les études nécessaires pour introduire dans la législation des réformes demandées depuis plusieurs années par les associations de notaires, d'avoués, d'huissiers, de commissaires priseurs et d'agréés afin de compléter leur statut professionnels qui dataient des premières années du XIXème siècle ou qui même, pour les agréés, étaient restés purement coutumier. L'autorité de fait, en 1941 et en 1942, publia une série de textes qui réalisa les réformes ainsi envisagées, mais en les modifiant pour se réserver, tout au moins à titre temporaire, le droit de désigner les représentants des professions et pour refuser aux officiers ministériels le droit de se grouper en associations professionnellles. Les ordonnances publiées ci-après ont pour objet, conformément aux voeux manifestés par les intéressés, de valider la réforme ainsi intervenue, mais en recourant à l'élection comme mode unique de désignation, et en rétablissant le droit d'association. En outre, les différents statuts ont été coordonnés et complétés sur les points dont l'expérience avait montré la nécessité. Des décrets en conseil d'Etat précisent les détails d'application de chacune de ces ordonnances.",VIGUEUR,1945-11-03,2999-01-01,LEGIARTI000006915392,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006915392
ord45-2590-1quater,ord_45_2590,Ordonnance n° 45-2590,1 quater,,,La formation professionnelle continue est obligatoire pour les notaires en exercice. Un décret en Conseil d'Etat détermine la nature et la durée des activités susceptibles d'être validées au titre de l'obligation de formation professionnelle continue. Le Conseil supérieur du notariat détermine les modalités selon lesquelles elle s'accomplit.,VIGUEUR,2010-12-24,2999-01-01,LEGIARTI000023275132,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000023275132
ord45-2590-7,ord_45_2590,Ordonnance n° 45-2590,7,,,Les notaires peuvent former entre eux des associations régies par la loi du 1er juillet 1901 relative au contrat d'association et des syndicats professionnels au sens de l' article L. 2131-1 du code du travail .,VIGUEUR,2010-12-24,2999-01-01,LEGIARTI000023276593,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000023276593
ord45-2590-6-2,ord_45_2590,Ordonnance n° 45-2590,6-2,,,La responsabilité civile professionnelle des notaires est garantie par un contrat d'assurance souscrit par le Conseil supérieur du notariat. Les conseils régionaux de notaires peuvent souscrire des garanties complémentaires.,VIGUEUR,2011-03-30,2999-01-01,LEGIARTI000023777969,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000023777969
ord45-2590-6-1,ord_45_2590,Ordonnance n° 45-2590,6-1,,,"Dans des conditions fixées par décret en Conseil d'Etat, le conseil supérieur du notariat centralise et diffuse les données visées à l'article 6 de la loi du 25 ventôse an XI contenant organisation du notariat. La mise en œuvre de cette mission de service public peut être déléguée par le conseil supérieur du notariat à tout organisme de droit privé placé sous son contrôle.",VIGUEUR,2011-03-30,2999-01-01,LEGIARTI000023780882,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000023780882
ord45-2590-5-2,ord_45_2590,Ordonnance n° 45-2590,5-2,,,"Le président du conseil régional ou du conseil interrégional des notaires, ou le président de l'établissement d'utilité publique faisant fonction de conseil régional, ou leurs délégués, peuvent être désignés par le ministre des affaires étrangères et le garde des sceaux, ministre de la justice, après avis du président du conseil supérieur du notariat, pour accomplir les formalités de la légalisation et de l'apostille sur les actes publics établis par une autorité française et destinés à être produits à l'étranger, dans les conditions fixées par un décret en Conseil d'Etat.",VIGUEUR,2020-03-06,2999-01-01,LEGIARTI000041687535,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000041687535
ord45-2590-13,ord_45_2590,Ordonnance n° 45-2590,13,,,"Les articles 1er à 7 de la présente ordonnance sont applicables aux collectivités territoriales de Saint-Pierre-et-Miquelon et de Mayotte. Un décret en Conseil d'Etat fixe la date d'entrée en vigueur et les modalités d'application du présent article. Les attributions dévolues aux établissements d'utilité publique visés par les articles 4 et 5 sont exercées, en ce qui concerne la collectivité territoriale de Saint-Pierre-et-Miquelon, par les établissements d'utilité publique existant dans le département de la Martinique et dans le ressort de la cour d'appel de Fort-de-France et, en ce qui concerne la collectivité territoriale de Mayotte, par ceux existant dans le département de la Réunion et dans le ressort de la cour d'appel de Saint-Denis. Les attributions prévues à l'article 5-2 sont exercées, à Saint-Pierre-et-Miquelon, par le président de l'établissement d'utilité publique existant dans le ressort de la cour d'appel de Fort-de-France et, à Mayotte, par le président de l'établissement d'utilité publique existant dans le ressort de la cour d'appel de Saint-Denis, ou par leurs délégués.",VIGUEUR,2020-03-06,2999-01-01,LEGIARTI000041689028,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000041689028
ord45-2590-6-3,ord_45_2590,Ordonnance n° 45-2590,6-3 ,,,"Le conseil supérieur du notariat veille à l'accès aux prestations notariales sur l'ensemble du territoire national, notamment dans les zones géographiques où la rentabilité des offices ne serait pas suffisante. A ce titre, il est habilité à percevoir auprès des notaires une contribution pour le financement d'aides à l'installation ou au maintien de professionnels, dont l'assiette et le taux sont fixés, sur sa proposition, par arrêté du ministre de la justice. Cette contribution, nonobstant son caractère obligatoire, a la nature d'une créance de droit privé. Le conseil supérieur du notariat rend compte chaque année au Gouvernement et au Parlement de l'usage fait du produit de ladite contribution.",VIGUEUR,2020-12-27,2999-01-01,LEGIARTI000042744693,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000042744693
ord45-2590-6-4,ord_45_2590,Ordonnance n° 45-2590,6-4,,,"Les sanctions énumérées aux 3° et 4° de l'article 16 de l'ordonnance n° 2022-544 du 13 avril 2022 relative à la déontologie et à la discipline des officiers ministériels entraînent, à titre accessoire, l'inéligibilité aux instances et organismes professionnels.",VIGUEUR,2022-07-01,2999-01-01,LEGIARTI000045575394,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045575394
ord45-2590-6-5,ord_45_2590,Ordonnance n° 45-2590,6-5,,,"En cas de manquement grave à leurs devoirs, le conseil supérieur du notariat et les conseils régionaux et interrégionaux des notaires peuvent être suspendus ou dissous par arrêté du garde des sceaux, ministre de la justice, après avis, pour le conseil supérieur, de la chambre compétente de la Cour de cassation et pour les conseils régionaux et interrégionaux, de la cour d'appel siégeant en chambre du conseil.",VIGUEUR,2022-07-01,2999-01-01,LEGIARTI000045575404,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045575404
ord45-2590-6-6,ord_45_2590,Ordonnance n° 45-2590,6-6,,,"La suspension ne peut être prononcée pour plus de six mois. Pendant la durée de la suspension, les attributions du conseil supérieur et des conseils régionaux et interrégionaux sont transférées à la première chambre civile de la Cour de cassation, laquelle peut désigner un ou plusieurs notaires honoraires ou en exercice chargés d'agir conformément à ce qui aura été délibéré. Néanmoins, les poursuites disciplinaires ne peuvent être exercées que par le ministère public.",VIGUEUR,2022-07-01,2999-01-01,LEGIARTI000045575414,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045575414
ord45-2590-6-7,ord_45_2590,Ordonnance n° 45-2590,6-7,,,"En cas de dissolution, les attributions du conseil supérieur du notariat sont exercées comme il est dit à l'article précédent. A l'expiration du délai fixé par l'arrêté de dissolution, délai qui ne peut excéder trois années, le corps électoral convoqué par le premier président, procède à l'élection d'un nouveau conseil.",VIGUEUR,2022-07-01,2999-01-01,LEGIARTI000045575424,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045575424
ord45-2590-8,ord_45_2590,Ordonnance n° 45-2590,8,,,"Par dérogation aux dispositions de l'article 1er de la présente ordonnance, dans le ressort de la Cour d'appel de Paris, la chambre départementale des notaires de Paris remplira, pour ces notaires, le rôle de conseil régional, indépendamment du conseil régional qui est constitué pour le reste du ressort. Un décret en Conseil d'Etat fixe les conditions d'application du présent article.",VIGUEUR,2022-07-01,2999-01-01,LEGIARTI000045579224,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045579224
ord45-2590-6,ord_45_2590,Ordonnance n° 45-2590,6,,,"Le conseil supérieur représente l'ensemble de la profession auprès des pouvoirs publics. Il prévient ou concilie tous différends d'ordre professionnel entre les chambres des notaires ou entre les notaires ne relevant pas du même conseil régional, il tranche, en cas de non-conciliation, ces litiges par des décisions qui sont exécutoires immédiatement ; il organise et règle le budget de toutes les oeuvres sociales intéressant les notaires. Le conseil supérieur peut, devant toutes les juridictions, exercer tous les droits réservés à la partie civile relativement aux faits portant un préjudice direct ou indirect à l'intérêt collectif de la profession. Le conseil supérieur établit son budget et en répartit les charges entre les conseils régionaux. Le conseil supérieur et les syndicats professionnels ou groupements d'employeurs représentatifs négocient et concluent les conventions et accords collectifs de travail. Le conseil supérieur, siégeant en comité mixte, règle les questions d'ordre général concernant la création, le fonctionnement et le budget des œuvres sociales intéressant le personnel des études. Le conseil supérieur, siégeant en l'une ou l'autre de ses formations, donne son avis chaque fois qu'il en est requis par le garde des sceaux, ministre de la justice, sur les questions professionnelles entrant dans ses attributions. Le conseil supérieur peut assister les chambres des notaires dans leur mission de contrôle du respect, par les notaires, des obligations prévues aux chapitres Ier et II du titre VI du livre V du code monétaire et financier, des dispositions européennes directement applicables en matière de lutte contre le blanchiment des capitaux et le financement du terrorisme, y compris celles des règlements européens portant mesures restrictives pris en application des articles 75 ou 215 du traité sur le fonctionnement de l'Union européenne, ainsi que celles prises en application du même article 215 à d'autres fins. Le conseil supérieur prépare un code de déontologie édicté par décret en Conseil d'Etat énonçant les principes et devoirs professionnels permettant le bon exercice des fonctions de notaire. Il précise par voie de règlement, approuvé par arrêté du garde des sceaux, ministre de la justice, les règles professionnelles propres à assurer le respect de ce code. Le conseil supérieur assure l'organisation de la formation professionnelle initiale et continue des membres des services d'enquête et des juridictions disciplinaires institués par l'ordonnance n° 2022-544 du 13 avril 2022 relative à la déontologie et à la discipline des officiers ministériels. Le conseil supérieur exerce l'action disciplinaire dans les conditions prévues par l'ordonnance n° 2022-544 du 13 avril 2022 relative à la déontologie et à la discipline des officiers ministériels.",VIGUEUR,2022-07-01,2999-01-01,LEGIARTI000045579228,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045579228
ord45-2590-5,ord_45_2590,Ordonnance n° 45-2590,5,,,"Le conseil régional des notaires représente l'ensemble des notaires du ressort de la cour d'appel en ce qui touche à leurs droits droits et intérêts communs. Il prévient ou concilie tous différends d'ordre professionnel entre les chambres des notaires des notaires du ressort de la cour d'appel ou entre les notaires du ressort n'exerçant pas dans le même département et tranche, en cas de non-conciliation, ces litiges par des décisions qui sont immédiatement exécutoires. Il donne son avis : a) Sur les règlements établis par les chambres des notaires du ressort de la cour d'appel ; b) texte abrogé. Il désigne : a) Cinq notaires pour faire partie de la commission chargée, au chef-lieu de la cour d'appel, de faire subir l'examen professionnel de notaire à tous les aspirants du ressort ; b) Les membres composant le conseil d'administration de la caisse régionale de garantie instituée par la loi du 25 janvier 1934 ; c) Le délégué appelé à faire partie du conseil supérieur. Il procède : a) A l'examen de toutes réclamations formulées à l'encontre d'un professionnel relevant de sa compétence dans les conditions prévues par décret en Conseil d'Etat ; b) A la vérification de la tenue de la comptabilité, ainsi que de l'organisation et du fonctionnement des offices de notaires du ressort ; c) A l'action disciplinaire dans les conditions prévues par l'ordonnance n° 2022-544 du 13 avril 2022 relative à la déontologie et à la discipline des officiers ministériels. Les attributions mentionnées aux trois alinéas précédents sont mises en œuvre par le président du conseil régional ou interrégional. Le conseil régional remplit en outre les fonctions réservées à la commission de contrôle de la comptabilité des notaires. Le conseil régional, siégeant en commité mixte, règle toutes questions concernant les institutions et oeuvres sociales intéressant le personnel des études. Le conseil régional siégeant en l'une ou l'autre de ses formations est chargé, en outre, d'assurer dans le ressort l'exécution des décisions prises par le conseil supérieur.",VIGUEUR,2022-07-01,2999-01-01,LEGIARTI000045579231,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045579231
ord45-2590-4,ord_45_2590,Ordonnance n° 45-2590,4,,,"La chambre des notaires a pour attributions : 1° D'établir, en ce qui concerne les usages de la profession et les rapports des notaires tant entre eux qu'avec la clientèle, un règlement qui sera soumis à l'approbation du garde des sceaux, ministre de la justice ; 2° De faire connaître aux instances compétentes les infractions disciplinaires dont elle a connaissance ; 3° De prévenir ou de concilier tous différends d'ordre professionnel entre notaires du département, de trancher, en cas de non-conciliation, ces litiges par des décisions qui seront exécutoires immédiatement ; 4° (Abrogé) ; 5° De vérifier la tenue de la comptabilité, ainsi que l'organisation et le fonctionnement des offices de notaires de la compagnie ; 6° De donner son avis, lorsqu'elle en est requise : a) Sur les actions en dommages-intérêts intentées contre les notaires en raison d'actes de leurs fonctions ; b) Sur les difficultés concernant le règlement des honoraires et vacations des notaires, ainsi que sur tous différends soumis à cet égard à la juridiction compétente ; 7° De délivrer ou de refuser par une décision motivée tous certificats de bonnes moeurs et capacité à elles demandés par les aspirants aux fonctions de notaire ; 8° De recevoir en dépôt les états des minutes dépendant des études de notaires supprimées ; 9° De préparer le budget de la compagnie et d'en proposer le vote à l'assemblée générale, de gérer la bourse commune et de poursuivre le recouvrement des cotisations ; 10° De vérifier le respect par les notaires de leurs obligations prévues par le chapitre Ier du titre VI du livre V du code monétaire et financier en matière de lutte contre le blanchiment des capitaux et le financement du terrorisme et de se faire communiquer, dans des conditions fixées par décret en Conseil d'Etat, les documents relatifs au respect de ces obligations. La chambre des notaires, siégeant en comité mixte, est chargée d'assurer dans le département les décisions prises en matière d'œuvres sociales par le conseil supérieur et le conseil régional siégeant tous deux en comité mixte. La chambre des notaires est chargée en outre d'assurer dans le département l'exécution des décisions prises par le conseil supérieur et le conseil régional.",VIGUEUR,2022-07-01,2999-01-01,LEGIARTI000045579234,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045579234
ord45-2590-1ter,ord_45_2590,Ordonnance n° 45-2590,1 ter,,,"Une personne physique titulaire d'un office notarial ne peut pas employer plus de quatre notaires salariés. Une personne morale titulaire d'un office de notaire ne peut pas employer un nombre de notaires salariés supérieur au quadruple de celui des notaires associés qui y exercent la profession. A compter du 1er janvier 2020, le nombre de recrutements de notaires salariés est limité à deux pour une personne physique titulaire d'un office notarial et au double de celui des notaires associés y exerçant la profession pour les personnes morales titulaires d'un office de notaire. En aucun cas le contrat de travail du notaire salarié ne peut porter atteinte au code de déontologie édicté par décret en Conseil d'Etat et aux règles professionnelles des notaires. Nonobstant toute clause du contrat de travail, le notaire salarié peut refuser à son employeur de recevoir un acte ou d'accomplir une mission lorsque cet acte ou cette mission lui paraissent contraires à sa conscience ou susceptibles de porter atteinte à son indépendance. Toute clause de non-concurrence est réputée non écrite. Un décret en Conseil d'Etat fixe les modalités d'application du présent article, et notamment les règles applicables au règlement des litiges nés à l'occasion de l'exécution d'un contrat de travail après médiation du président de la chambre des notaires, celles relatives au licenciement du notaire salarié et, dans ce cas, les conditions dans lesquelles il peut être mis fin aux fonctions d'officier public du notaire salarié.",VIGUEUR,2022-07-01,2999-01-01,LEGIARTI000045579236,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045579236
